,,Overall,,Col NZ: All Resistances Cefotaxime
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,13,,256
Age,<1yr,11,4.09%,1,9.09%,10,90.91%,
Age,1 to <6,51,18.96%,1,1.96%,50,98.04%,
Age,6 to <11,74,27.51%,4,5.41%,70,94.59%,
Age,11 to <15,58,21.56%,4,6.9%,54,93.1%,
Age,15 to <18,32,11.9%,1,3.13%,31,96.88%,
Age,18 and older,43,15.99%,2,4.65%,41,95.35%,
Sex,Female,144,53.53%,6,4.17%,138,95.83%,
Sex,Male,125,46.47%,7,5.6%,118,94.4%,
Circumcision,Circumcised,19,7.06%,0,0.0%,19,100.0%,
Circumcision,Uncircumcised,33,12.27%,1,3.03%,32,96.97%,
Circumcision,Unknown,73,27.14%,6,8.22%,67,91.78%,
Race,White,145,53.9%,7,4.83%,138,95.17%,
Race,Black/African,28,10.41%,3,10.71%,25,89.29%,
Race,Asian,12,4.46%,1,8.33%,11,91.67%,
Race,Other,84,31.23%,2,2.38%,82,97.62%,
Ethnicity/Race,Hispanic,85,31.6%,3,3.53%,82,96.47%,
Ethnicity/Race,nonHispanic,184,68.4%,10,5.43%,174,94.57%,
Etiology,Myelomeningocele,154,57.25%,5,3.25%,149,96.75%,
Etiology,Fatt,47,17.47%,2,4.26%,45,95.74%,
Etiology,Other,68,25.28%,6,8.82%,62,91.18%,
Hx Augmentation,Yes,25,9.29%,2,8.0%,23,92.0%,
Hx Augmentation,No,244,90.71%,11,4.51%,233,95.49%,
Hx Catheterizable Channel,Yes,34,12.64%,3,8.82%,31,91.18%,
Hx Catheterizable Channel,No,235,87.36%,10,4.26%,225,95.74%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,4,9.52%,38,90.48%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,9,3.96%,218,96.04%,
Immunosuppression,Yes,8,2.97%,1,12.5%,7,87.5%,
Immunosuppression,No,261,97.03%,12,4.6%,249,95.4%,
Overnight Foley,Yes,29,10.78%,2,6.9%,27,93.1%,
Overnight Foley,No,240,89.22%,11,4.58%,229,95.42%,
Recent UTI,Yes,33,12.27%,1,3.03%,32,96.97%,
Recent UTI,No,233,86.62%,10,4.29%,223,95.71%,
Recent UTI,Unknown,3,1.12%,2,66.67%,1,33.33%,
Antibiotic Prophylaxis,Yes,72,26.77%,4,5.56%,68,94.44%,
Antibiotic Prophylaxis,No,197,73.23%,9,4.57%,188,95.43%,
VUR (most recent test),Yes,44,16.36%,4,9.09%,40,90.91%,
VUR (most recent test),No,225,83.64%,9,4.0%,216,96.0%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,1,6.67%,14,93.33%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,2,7.14%,26,92.86%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,1,100.0%,0,0.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,7,7.07%,92,92.93%,
Hydronephrosis (Most Recent Test),No,170,63.2%,6,3.53%,164,96.47%,
Hydronephrosis (grade),mild,58,21.56%,2,3.45%,56,96.55%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,4,13.33%,26,86.67%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,1,9.09%,10,90.91%,
Sum,Sum,269,100.0%,13,4.83%,256,95.17%,
