,,Overall,,Col NQ: All Unknown
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,0,,269
Age,<1yr,11,4.09%,0,0.0%,11,100.0%,
Age,1 to <6,51,18.96%,0,0.0%,51,100.0%,
Age,6 to <11,74,27.51%,0,0.0%,74,100.0%,
Age,11 to <15,58,21.56%,0,0.0%,58,100.0%,
Age,15 to <18,32,11.9%,0,0.0%,32,100.0%,
Age,18 and older,43,15.99%,0,0.0%,43,100.0%,
Sex,Female,144,53.53%,0,0.0%,144,100.0%,
Sex,Male,125,46.47%,0,0.0%,125,100.0%,
Circumcision,Circumcised,19,7.06%,0,0.0%,19,100.0%,
Circumcision,Uncircumcised,33,12.27%,0,0.0%,33,100.0%,
Circumcision,Unknown,73,27.14%,0,0.0%,73,100.0%,
Race,White,145,53.9%,0,0.0%,145,100.0%,
Race,Black/African,28,10.41%,0,0.0%,28,100.0%,
Race,Asian,12,4.46%,0,0.0%,12,100.0%,
Race,Other,84,31.23%,0,0.0%,84,100.0%,
Ethnicity/Race,Hispanic,85,31.6%,0,0.0%,85,100.0%,
Ethnicity/Race,nonHispanic,184,68.4%,0,0.0%,184,100.0%,
Etiology,Myelomeningocele,154,57.25%,0,0.0%,154,100.0%,
Etiology,Fatt,47,17.47%,0,0.0%,47,100.0%,
Etiology,Other,68,25.28%,0,0.0%,68,100.0%,
Hx Augmentation,Yes,25,9.29%,0,0.0%,25,100.0%,
Hx Augmentation,No,244,90.71%,0,0.0%,244,100.0%,
Hx Catheterizable Channel,Yes,34,12.64%,0,0.0%,34,100.0%,
Hx Catheterizable Channel,No,235,87.36%,0,0.0%,235,100.0%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,0,0.0%,42,100.0%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,0,0.0%,227,100.0%,
Immunosuppression,Yes,8,2.97%,0,0.0%,8,100.0%,
Immunosuppression,No,261,97.03%,0,0.0%,261,100.0%,
Overnight Foley,Yes,29,10.78%,0,0.0%,29,100.0%,
Overnight Foley,No,240,89.22%,0,0.0%,240,100.0%,
Recent UTI,Yes,33,12.27%,0,0.0%,33,100.0%,
Recent UTI,No,233,86.62%,0,0.0%,233,100.0%,
Recent UTI,Unknown,3,1.12%,0,0.0%,3,100.0%,
VUR (most recent test),Yes,44,16.36%,0,0.0%,44,100.0%,
VUR (most recent test),No,225,83.64%,0,0.0%,225,100.0%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,0,0.0%,15,100.0%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,0,0.0%,28,100.0%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,0,0.0%,1,100.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,0,0.0%,99,100.0%,
Hydronephrosis (Most Recent Test),No,170,63.2%,0,0.0%,170,100.0%,
Hydronephrosis (grade),mild,58,21.56%,0,0.0%,58,100.0%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,0,0.0%,30,100.0%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,0,0.0%,11,100.0%,
Sum,Sum,269,100.0%,0,0.0%,269,100.0%,
