,,Overall,,Col ME: Amoxicillin
,,,,Yes,,No
,,N,%,N,%,N,%
Overall,,269,,3,,266
Age,<1yr,11,4.09%,1,9.09%,10,90.91%,
Age,1 to <6,51,18.96%,0,0.0%,51,100.0%,
Age,6 to <11,74,27.51%,1,1.35%,73,98.65%,
Age,11 to <15,58,21.56%,0,0.0%,58,100.0%,
Age,15 to <18,32,11.9%,1,3.13%,31,96.88%,
Age,18 and older,43,15.99%,0,0.0%,43,100.0%,
Sex,Female,144,53.53%,1,0.69%,143,99.31%,
Sex,Male,125,46.47%,2,1.6%,123,98.4%,
Race,White,145,53.9%,0,0.0%,145,100.0%,
Race,Black/African,28,10.41%,0,0.0%,28,100.0%,
Race,Asian,12,4.46%,0,0.0%,12,100.0%,
Race,Other,84,31.23%,3,3.57%,81,96.43%,
Ethnicity/Race,Hispanic,85,31.6%,2,2.35%,83,97.65%,
Ethnicity/Race,nonHispanic,184,68.4%,1,0.54%,183,99.46%,
Circumcision,Circumcised,19,7.06%,0,0.0%,19,100.0%,
Circumcision,Uncircumcised,33,12.27%,1,3.03%,32,96.97%,
Circumcision,Unknown,73,27.14%,1,1.37%,72,98.63%,
Hydronephrosis (Most Recent Test,Yes,169,62.83%,3,1.78%,166,98.22%,
Hydronephrosis (Most Recent Test,No,77,28.62%,0,0.0%,77,100.0%,
Hydronephrosis (Most Recent Test,Unknown,23,8.55%,0,0.0%,23,100.0%,
Hx Augmentation,Yes,24,8.92%,0,0.0%,24,100.0%,
Hx Augmentation,No,245,91.08%,3,1.22%,242,98.78%,
Hx Catheterizable Channel,Yes,34,12.64%,0,0.0%,34,100.0%,
Hx Catheterizable Channel,No,235,87.36%,3,1.28%,232,98.72%,
Recent UTI,Yes,33,12.27%,1,3.03%,32,96.97%,
Recent UTI,No,233,86.62%,2,0.86%,231,99.14%,
Recent UTI,Unknown,3,1.12%,0,0.0%,3,100.0%,
VUR (grade of those with VUR,VUR grade I to II,15,5.58%,1,6.67%,14,93.33%,
VUR (grade of those with VUR,VUR grade III to V,28,10.41%,1,3.57%,27,96.43%,
VUR (grade of those with VUR,VUR grade unknown,1,0.37%,0,0.0%,1,100.0%,
VUR (most recent test,Yes,44,16.36%,2,4.55%,42,95.45%,
VUR (most recent test,No,225,83.64%,1,0.44%,224,99.56%,
Etiology,Myelomeningocele,154,57.25%,2,1.3%,152,98.7%,
Etiology,Fatt,47,17.47%,0,0.0%,47,100.0%,
Etiology,Other,68,25.28%,1,1.47%,67,98.53%,
Sum,Sum,269,100.0%,3,1.12%,266,98.88%,
