,,Overall,,Col MD: Bactrim
,,,,Yes,,No
,,N,%,N,%,N,%
Overall,,269,,38,,231
Age,<1yr,11,4.09%,1,9.09%,10,90.91%,
Age,1 to <6,51,18.96%,11,21.57%,40,78.43%,
Age,6 to <11,74,27.51%,5,6.76%,69,93.24%,
Age,11 to <15,58,21.56%,10,17.24%,48,82.76%,
Age,15 to <18,32,11.9%,1,3.13%,31,96.88%,
Age,18 and older,43,15.99%,10,23.26%,33,76.74%,
Sex,Female,144,53.53%,17,11.81%,127,88.19%,
Sex,Male,125,46.47%,21,16.8%,104,83.2%,
Race,White,145,53.9%,30,20.69%,115,79.31%,
Race,Black/African,28,10.41%,2,7.14%,26,92.86%,
Race,Asian,12,4.46%,1,8.33%,11,91.67%,
Race,Other,84,31.23%,5,5.95%,79,94.05%,
Ethnicity/Race,Hispanic,85,31.6%,6,7.06%,79,92.94%,
Ethnicity/Race,nonHispanic,184,68.4%,32,17.39%,152,82.61%,
Circumcision,Circumcised,19,7.06%,5,26.32%,14,73.68%,
Circumcision,Uncircumcised,33,12.27%,3,9.09%,30,90.91%,
Circumcision,Unknown,73,27.14%,13,17.81%,60,82.19%,
Hydronephrosis (Most Recent Test,Yes,169,62.83%,31,18.34%,138,81.66%,
Hydronephrosis (Most Recent Test,No,77,28.62%,5,6.49%,72,93.51%,
Hydronephrosis (Most Recent Test,Unknown,23,8.55%,2,8.7%,21,91.3%,
Hx Augmentation,Yes,24,8.92%,3,12.5%,21,87.5%,
Hx Augmentation,No,245,91.08%,35,14.29%,210,85.71%,
Hx Catheterizable Channel,Yes,34,12.64%,5,14.71%,29,85.29%,
Hx Catheterizable Channel,No,235,87.36%,33,14.04%,202,85.96%,
Recent UTI,Yes,33,12.27%,7,21.21%,26,78.79%,
Recent UTI,No,233,86.62%,30,12.88%,203,87.12%,
Recent UTI,Unknown,3,1.12%,1,33.33%,2,66.67%,
VUR (grade of those with VUR,VUR grade I to II,15,5.58%,5,33.33%,10,66.67%,
VUR (grade of those with VUR,VUR grade III to V,28,10.41%,7,25.0%,21,75.0%,
VUR (grade of those with VUR,VUR grade unknown,1,0.37%,1,100.0%,0,0.0%,
VUR (most recent test,Yes,44,16.36%,13,29.55%,31,70.45%,
VUR (most recent test,No,225,83.64%,25,11.11%,200,88.89%,
Etiology,Myelomeningocele,154,57.25%,14,9.09%,140,90.91%,
Etiology,Fatt,47,17.47%,8,17.02%,39,82.98%,
Etiology,Other,68,25.28%,16,23.53%,52,76.47%,
Sum,Sum,269,100.0%,38,14.13%,231,85.87%,
