,,Overall,,Col HZ: Proteus
,,,,Yes,,No
,,N,%,N,%,N,%
Overall,,269,,5,,264
Age,<1yr,11,4.09%,0,0.0%,11,100.0%,
Age,1 to <6,51,18.96%,0,0.0%,51,100.0%,
Age,6 to <11,74,27.51%,2,2.7%,72,97.3%,
Age,11 to <15,58,21.56%,1,1.72%,57,98.28%,
Age,15 to <18,32,11.9%,2,6.25%,30,93.75%,
Age,18 and older,43,15.99%,0,0.0%,43,100.0%,
Sex,Female,144,53.53%,2,1.39%,142,98.61%,
Sex,Male,125,46.47%,3,2.4%,122,97.6%,
Race,White,145,53.9%,3,2.07%,142,97.93%,
Race,Black/African,28,10.41%,0,0.0%,28,100.0%,
Race,Asian,12,4.46%,0,0.0%,12,100.0%,
Race,Other,84,31.23%,2,2.38%,82,97.62%,
Ethnicity/Race,Hispanic,85,31.6%,1,1.18%,84,98.82%,
Ethnicity/Race,nonHispanic,184,68.4%,4,2.17%,180,97.83%,
Circumcision,Circumcised,19,7.06%,1,5.26%,18,94.74%,
Circumcision,Uncircumcised,33,12.27%,0,0.0%,33,100.0%,
Circumcision,Unknown,73,27.14%,2,2.74%,71,97.26%,
Hydronephrosis (Most Recent Test),Yes,96,35.69%,1,1.04%,95,98.96%,
Hydronephrosis (Most Recent Test),No,173,64.31%,4,2.31%,169,97.69%,
Hx Augmentation,Yes,25,9.29%,0,0.0%,25,100.0%,
Hx Augmentation,No,244,90.71%,5,2.05%,239,97.95%,
Hx Catheterizable Channel,Yes,34,12.64%,1,2.94%,33,97.06%,
Hx Catheterizable Channel,No,235,87.36%,4,1.7%,231,98.3%,
Recent UTI,Yes,33,12.27%,1,3.03%,32,96.97%,
Recent UTI,No,233,86.62%,4,1.72%,229,98.28%,
Recent UTI,Unknown,3,1.12%,0,0.0%,3,100.0%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,1,6.67%,14,93.33%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,0,0.0%,28,100.0%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,0,0.0%,1,100.0%,
VUR (most recent test),Yes,44,16.36%,1,2.27%,43,97.73%,
VUR (most recent test),No,225,83.64%,4,1.78%,221,98.22%,
Etiology,Myelomeningocele,154,57.25%,3,1.95%,151,98.05%,
Etiology,Fatt,47,17.47%,0,0.0%,47,100.0%,
Etiology,Other,68,25.28%,2,2.94%,66,97.06%,
Hydronephrosis (grade),mild,58,21.56%,1,1.72%,57,98.28%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,0,0.0%,30,100.0%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,0,0.0%,11,100.0%,
Sum,Sum,269,100.0%,5,1.86%,264,98.14%,
