,,Overall,,Col IL: Resistance Tetracycline
,,,,Yes,,No
,,N,% of Total,N,% of cohort,N,% of cohort
Overall,,269,,51,,218
Age,<1yr,11,4.09%,0,0.0%,11,100.0%,
Age,1 to <6,51,18.96%,8,15.69%,43,84.31%,
Age,6 to <11,74,27.51%,11,14.86%,63,85.14%,
Age,11 to <15,58,21.56%,13,22.41%,45,77.59%,
Age,15 to <18,32,11.9%,6,18.75%,26,81.25%,
Age,18 and older,43,15.99%,13,30.23%,30,69.77%,
Sex,Female,144,53.53%,34,23.61%,110,76.39%,
Sex,Male,125,46.47%,17,13.6%,108,86.4%,
Circumcision,Circumcised,19,7.06%,3,15.79%,16,84.21%,
Circumcision,Uncircumcised,33,12.27%,3,9.09%,30,90.91%,
Circumcision,Unknown,73,27.14%,11,15.07%,62,84.93%,
Race,White,145,53.9%,19,13.1%,126,86.9%,
Race,Black/African,28,10.41%,8,28.57%,20,71.43%,
Race,Asian,12,4.46%,1,8.33%,11,91.67%,
Race,Other,84,31.23%,23,27.38%,61,72.62%,
Ethnicity/Race,Hispanic,85,31.6%,22,25.88%,63,74.12%,
Ethnicity/Race,nonHispanic,184,68.4%,29,15.76%,155,84.24%,
Etiology,Myelomeningocele,154,57.25%,34,22.08%,120,77.92%,
Etiology,Fatt,47,17.47%,7,14.89%,40,85.11%,
Etiology,Other,68,25.28%,10,14.71%,58,85.29%,
Hx Augmentation,Yes,25,9.29%,5,20.0%,20,80.0%,
Hx Augmentation,No,244,90.71%,46,18.85%,198,81.15%,
Hx Catheterizable Channel,Yes,34,12.64%,6,17.65%,28,82.35%,
Hx Catheterizable Channel,No,235,87.36%,45,19.15%,190,80.85%,
Hx Surgery with bowel in urinary tract,Yes,42,15.61%,8,19.05%,34,80.95%,
Hx Surgery with bowel in urinary tract,No,227,84.39%,43,18.94%,184,81.06%,
Immunosuppression,Yes,8,2.97%,1,12.5%,7,87.5%,
Immunosuppression,No,261,97.03%,50,19.16%,211,80.84%,
Overnight Foley,Yes,29,10.78%,4,13.79%,25,86.21%,
Overnight Foley,No,240,89.22%,47,19.58%,193,80.42%,
Recent UTI,Yes,33,12.27%,4,12.12%,29,87.88%,
Recent UTI,No,233,86.62%,46,19.74%,187,80.26%,
Recent UTI,Unknown,3,1.12%,1,33.33%,2,66.67%,
Antibiotic Prophylaxis,Yes,72,26.77%,18,25.0%,54,75.0%,
Antibiotic Prophylaxis,No,197,73.23%,33,16.75%,164,83.25%,
VUR (most recent test),Yes,44,16.36%,9,20.45%,35,79.55%,
VUR (most recent test),No,225,83.64%,42,18.67%,183,81.33%,
VUR (grade of those with VUR),VUR grade I to II,15,5.58%,4,26.67%,11,73.33%,
VUR (grade of those with VUR),VUR grade III to V,28,10.41%,5,17.86%,23,82.14%,
VUR (grade of those with VUR),VUR grade unknown,1,0.37%,0,0.0%,1,100.0%,
Hydronephrosis (Most Recent Test),Yes,99,36.8%,20,20.2%,79,79.8%,
Hydronephrosis (Most Recent Test),No,170,63.2%,31,18.24%,139,81.76%,
Hydronephrosis (grade),mild,58,21.56%,12,20.69%,46,79.31%,
Hydronephrosis (grade),mild-moderate to moderate,30,11.15%,7,23.33%,23,76.67%,
Hydronephrosis (grade),moderate-severe to severe,11,4.09%,1,9.09%,10,90.91%,
Sum,Sum,269,100.0%,51,18.96%,218,81.04%,
